ID	Name	Start_Date	Finish_Date	Cost
56	Tri?n khai h? th?ng lên máy ch? c?a tòa H3	05/01/23	09/01/23	$1,440.00
57	Cài d?t HÐH Server cho máy ch? và các giao th?c, d?ch v? m?ng Server	05/01/23	09/01/23	$360.00
58	Cài d?t Firewall Server, Web Server, Mail Server n?i b? trên các h? di?u hành Windows và Linux	05/01/23	09/01/23	$360.00
59	Thi?t L?p danh sách phòng ban và tài kho?n ngu?i dùng trong Domain.	05/01/23	09/01/23	$360.00
60	T?o nh?ng vùng d? li?u và phân chia quy?n h?n c?a t?ng user và phòng ban.	05/01/23	09/01/23	$360.00
61	Chuy?n giao h? th?ng cho khách hàng	10/01/23	11/01/23	$720.00
62	Chuy?n giao h? so thi?t k? h? th?ng và so d? m?ng	10/01/23	11/01/23	$480.00
63	Hu?ng d?n s? d?ng và qu?n tr? m?ng.	10/01/23	10/01/23	$240.00
64	H?p d?nh kì hàng tu?n v?i d?i dev	03/10/22	02/01/23	$0.00
65	H?p d?nh kì hàng tu?n v?i d?i dev 1	03/10/22	03/10/22	$0.00
66	H?p d?nh kì hàng tu?n v?i d?i dev 2	10/10/22	10/10/22	$0.00
67	H?p d?nh kì hàng tu?n v?i d?i dev 3	17/10/22	17/10/22	$0.00
68	H?p d?nh kì hàng tu?n v?i d?i dev 4	24/10/22	24/10/22	$0.00
69	H?p d?nh kì hàng tu?n v?i d?i dev 5	31/10/22	31/10/22	$0.00
70	H?p d?nh kì hàng tu?n v?i d?i dev 6	07/11/22	07/11/22	$0.00
71	H?p d?nh kì hàng tu?n v?i d?i dev 7	14/11/22	14/11/22	$0.00
72	H?p d?nh kì hàng tu?n v?i d?i dev 8	21/11/22	21/11/22	$0.00
73	H?p d?nh kì hàng tu?n v?i d?i dev 9	28/11/22	28/11/22	$0.00
74	H?p d?nh kì hàng tu?n v?i d?i dev 10	05/12/22	05/12/22	$0.00
75	H?p d?nh kì hàng tu?n v?i d?i dev 11	12/12/22	12/12/22	$0.00
76	H?p d?nh kì hàng tu?n v?i d?i dev 12	19/12/22	19/12/22	$0.00
77	H?p d?nh kì hàng tu?n v?i d?i dev 13	26/12/22	26/12/22	$0.00
78	H?p d?nh kì hàng tu?n v?i d?i dev 14	02/01/23	02/01/23	$0.00
